UNIQUE_SOURCE_ID,UNIQUE_TARGET_ID,SOURCE_ID,SOURCE_NAME,SOURCE_ATTRIBUTE,SOURCE_NODE_TYPE,SOURCE_TYPE,SOURCE_PQL,SOURCE_STUDIO_ASSET_ID,SOURCE_STUDIO_ASSET_TYPE,TARGET_ID,TARGET_NAME,TARGET_ATTRIBUTE,TARGET_NODE_TYPE,TARGET_STUDIO_ASSET_ID,TARGET_STUDIO_ASSET_TYPE,DATA_SOURCE_ID,KNOWLEDGE_MODEL_KEY,KNOWLEDGE_MODEL_ID,DATA_MODEL_ID,DATA_MODEL_NAME,DATA_POOL_ID,DATA_POOL_NAME,JOIN_KEY,UNIQUE_KEY
6dc41ceb-3d03-4f90-9500-4d6a1db05f67.vbak.mandt,a16b0ed3-bed8-43e2-9c9d-773b0b0dbe2b.600eb453-252f-4881-bda6-a7460befef81,vbak.mandt,vbak,mandt,ATTRIBUTES,AUTO_GENERATED,,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,600eb453-252f-4881-bda6-a7460befef81,test aug atts,,VIEW,600eb453-252f-4881-bda6-a7460befef81,VIEW,,km-test,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f.vbak.mandt,
6dc41ceb-3d03-4f90-9500-4d6a1db05f67.vbak.vbeln,a16b0ed3-bed8-43e2-9c9d-773b0b0dbe2b.600eb453-252f-4881-bda6-a7460befef81,vbak.vbeln,vbak,vbeln,ATTRIBUTES,AUTO_GENERATED,,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,600eb453-252f-4881-bda6-a7460befef81,test aug atts,,VIEW,600eb453-252f-4881-bda6-a7460befef81,VIEW,,km-test,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f.vbak.vbeln,
6dc41ceb-3d03-4f90-9500-4d6a1db05f67.vbak_aug_aug_atts_test.value,a16b0ed3-bed8-43e2-9c9d-773b0b0dbe2b.2ef7b321-f2e9-4ba7-8d99-98519a8e5c0b,vbak_aug_aug_atts_test.value,vbak_aug_aug_atts_test,value,ATTRIBUTES,AUTO_GENERATED,,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,2ef7b321-f2e9-4ba7-8d99-98519a8e5c0b,test_AUG,,VIEW,2ef7b321-f2e9-4ba7-8d99-98519a8e5c0b,VIEW,,km-test,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f.vbak_aug_aug_atts_test.value,
6dc41ceb-3d03-4f90-9500-4d6a1db05f67.vbak_aug_aug_atts_test.value,a16b0ed3-bed8-43e2-9c9d-773b0b0dbe2b.600eb453-252f-4881-bda6-a7460befef81,vbak_aug_aug_atts_test.value,vbak_aug_aug_atts_test,value,ATTRIBUTES,AUTO_GENERATED,,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,600eb453-252f-4881-bda6-a7460befef81,test aug atts,,VIEW,600eb453-252f-4881-bda6-a7460befef81,VIEW,,km-test,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f.vbak_aug_aug_atts_test.value,
6dc41ceb-3d03-4f90-9500-4d6a1db05f67.order_cel_task.knowledge_model_key,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.count_value__order_cel_task__open,order_cel_task.knowledge_model_key,order_cel_task,knowledge_model_key,ATTRIBUTES,AUTO_GENERATED,,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,count_value__order_cel_task__open,Open Tasks,,KPIS,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,,km-test,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f.order_cel_task.knowledge_model_key,
6dc41ceb-3d03-4f90-9500-4d6a1db05f67.order_cel_task.knowledge_model_key,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.count_value__order_cel_task__in_progress,order_cel_task.knowledge_model_key,order_cel_task,knowledge_model_key,ATTRIBUTES,AUTO_GENERATED,,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,count_value__order_cel_task__in_progress,In Progress Tasks,,KPIS,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,,km-test,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f.order_cel_task.knowledge_model_key,
6dc41ceb-3d03-4f90-9500-4d6a1db05f67.order_cel_task.knowledge_model_key,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.count_value__order_cel_task__resolved,order_cel_task.knowledge_model_key,order_cel_task,knowledge_model_key,ATTRIBUTES,AUTO_GENERATED,,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,count_value__order_cel_task__resolved,Resolved Tasks,,KPIS,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,,km-test,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f.order_cel_task.knowledge_model_key,
6dc41ceb-3d03-4f90-9500-4d6a1db05f67.order_cel_task.knowledge_model_key,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.count_value__order_cel_task__snoozed,order_cel_task.knowledge_model_key,order_cel_task,knowledge_model_key,ATTRIBUTES,AUTO_GENERATED,,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,count_value__order_cel_task__snoozed,Snoozed Tasks,,KPIS,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,,km-test,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f.order_cel_task.knowledge_model_key,
6dc41ceb-3d03-4f90-9500-4d6a1db05f67.order_cel_task.knowledge_model_key,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.count_value__order_cel_task__closed,order_cel_task.knowledge_model_key,order_cel_task,knowledge_model_key,ATTRIBUTES,AUTO_GENERATED,,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,count_value__order_cel_task__closed,Closed Tasks,,KPIS,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,,km-test,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f.order_cel_task.knowledge_model_key,
6dc41ceb-3d03-4f90-9500-4d6a1db05f67.order_cel_task.status,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.count_value__order_cel_task__open,order_cel_task.status,order_cel_task,status,ATTRIBUTES,AUTO_GENERATED,,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,count_value__order_cel_task__open,Open Tasks,,KPIS,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,KNOWLEDGE_MODEL,,km-test,6dc41ceb-3d03-4f90-9500-4d6a1db05f67,1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f.order_cel_task.status,
